,Miopithecus_ogouensis,Cercopithecus_aethiops_aethiops,Papio_cynocephalus,Cercopithecus_aethiops_tantalus,Cercopithecus_mona,Cercopithecus_nictitans,Cercopithecus_solatus,Cercocebus_atys,Cercopithecus_ascanius,Homo_sapiens,Cercopithecus_neglectus,Pan_troglodytes_schweinfurthii,Gorilla_gorilla,Pan_troglodytes_troglodytes,Mandrillus_sphinx,Piliocolobus_badius,Cercopithecus_lhoesti,Cercocebus_torquatus,Cercopithecus_erythrotis,Cercopithecus_cephus,Cercopithecus_aethiops_sabaeus,Cercopithecus_albogularis,Colobus_guereza,Cercopithecus_aethiops_pygerythrus
Cercopithecus_neglectus,-0.444917053942,-0.40414495202,-0.00445931054909,-0.40414495202,-0.36009917768,-0.349236537387,-0.351022176887,-0.2559368735,-0.413370756104,1.29459342588,,0.624978613286,3.0876730907,1.05799619209,0.150296112805,-0.265311480876,-0.371705834432,-0.289120007546,-0.405186575061,-0.405186575061,-0.38390770435,-0.330636125926,-0.174095063072,-0.40414495202
Pan_troglodytes_schweinfurthii,-0.501816783828,-0.495690295215,-0.435632819245,-0.495690295215,-0.489071898757,-0.487439659089,-0.487707972459,-0.473420285511,-0.497076580959,-0.24043484262,-0.486209889477,,0.028996499686,-0.275986364136,-0.412378993851,-0.474828930703,-0.490815935661,-0.478406442302,-0.495846811347,-0.495846811347,-0.492649410356,-0.484644728153,-0.461122589389,-0.495690295215
Gorilla_gorilla,-0.508700702192,-0.506765754982,-0.487797622844,-0.506765754982,-0.504675447047,-0.504159931915,-0.504244674128,-0.499732151256,-0.507203589752,-0.426147662472,-0.503771530102,-0.457925992561,,-0.43737600577,-0.480453297668,-0.500177047877,-0.505226271435,-0.501306944058,-0.50681518794,-0.50681518794,-0.505805343228,-0.503277200523,-0.495848133134,-0.506765754982
Pan_troglodytes_troglodytes,-0.50459211051,-0.500155487476,-0.456663628101,-0.500155487476,-0.495362639235,-0.49418061923,-0.494374923889,-0.484028200828,-0.501159394878,-0.315306989104,-0.493290056212,-0.38817123601,-0.120192727946,,-0.439823891039,-0.485048300285,-0.496625619515,-0.487639029063,-0.50026883186,-0.50026883186,-0.497953368014,-0.492156612372,-0.475122570651,-0.500155487476
Mandrillus_sphinx,-0.494603977788,-0.484085691719,-0.38097577792,-0.484085691719,-0.472722871733,-0.469920554641,-0.470381209505,-0.44585133798,-0.486465741852,-0.0458493641185,-0.467809219846,-0.218594938243,0.416724895481,-0.106886133642,,-0.448269776018,-0.475717128351,-0.454411840875,-0.484354407057,-0.484354407057,-0.47886493659,-0.465122066471,-0.424737990031,-0.484085691719
Piliocolobus_badius,-0.465486392482,-0.437238732248,-0.160329187041,-0.437238732248,-0.406723011704,-0.399197175219,-0.400434299025,-0.334557456364,-0.443630538579,0.739678381707,-0.393527024442,0.275756954517,1.98195687007,0.575759477433,-0.0531117905353,,-0.414764316442,-0.357547340422,-0.437960387802,-0.437960387802,-0.423217995782,-0.386310468908,-0.277855948596,-0.437238732248
Cercopithecus_lhoesti,-0.43027367269,-0.380585378627,0.106504978494,-0.380585378627,-0.326907513509,-0.313669391368,-0.315845521035,-0.19996661627,-0.39182871524,1.68963931121,-0.303695463728,0.873590686097,3.87483618511,1.40130213033,0.295102882963,-0.211391297021,,-0.240406359248,-0.3818547876,-0.3818547876,-0.355922575735,-0.291001374004,-0.100227339868,-0.380585378627
Cercocebus_torquatus,-0.460527980434,-0.429261198199,-0.122755442415,-0.429261198199,-0.395483944397,-0.38715374329,-0.388523091417,-0.315605303649,-0.436336163522,0.873445320054,-0.380877564374,0.359939772389,2.24849906435,0.692006693212,-0.00407860473268,-0.322794381316,-0.404384707223,,-0.430059984606,-0.430059984606,-0.413741919425,-0.3728897003,-0.25284351449,-0.429261198199
Cercopithecus_erythrotis,-0.404665452236,-0.339384597276,0.300558382373,-0.339384597276,-0.268862213815,-0.251469869245,-0.254328884791,-0.102086306982,-0.354156177596,2.38049219188,-0.238366047994,1.30836136224,5.25142030236,2.00167263207,0.548339729668,-0.117096138597,-0.287445814862,-0.155216345873,,-0.341052356344,-0.306982421091,-0.221688457311,0.0289519055299,-0.339384597276
Cercopithecus_cephus,-0.404665452236,-0.339384597276,0.300558382373,-0.339384597276,-0.268862213815,-0.251469869245,-0.254328884791,-0.102086306982,-0.354156177596,2.38049219188,-0.238366047994,1.30836136224,5.25142030236,2.00167263207,0.548339729668,-0.117096138597,-0.287445814862,-0.155216345873,-0.341052356344,,-0.306982421091,-0.221688457311,0.0289519055299,-0.339384597276
Cercopithecus_aethiops_sabaeus,-0.422492743939,-0.368066728815,0.165467127474,-0.368066728815,-0.309270741673,-0.29477037998,-0.29715400108,-0.170226177488,-0.3803821045,1.89955147796,-0.283845449937,1.00569356534,4.29310433286,1.58372168216,0.372047622835,-0.182740188265,-0.324764278826,-0.214521802936,-0.369457174457,-0.369457174457,,-0.269940993518,-0.0609768770567,-0.368066728815
Cercopithecus_albogularis,-0.448765414934,-0.41033653726,-0.0336213349544,-0.41033653726,-0.368822129262,-0.358583778641,-0.360266795181,-0.270646164402,-0.419032122719,1.19077319823,-0.35086995283,0.559641995557,2.8808023076,0.967773506617,0.112240098552,-0.279482001239,-0.379761736775,-0.301922221779,-0.411318296908,-0.411318296908,-0.391262349801,,-0.193507906298,-0.41033653726
Colobus_guereza,-0.478014314723,-0.457394767143,-0.2552629978,-0.457394767143,-0.43511963545,-0.429626106351,-0.43052915223,-0.382441959151,-0.462060504186,0.401702879476,-0.42548714607,0.0630606746946,1.30851145006,0.282049300453,-0.176999021584,-0.387182950018,-0.440989433666,-0.399223561743,-0.457921543906,-0.457921543906,-0.447160247176,-0.42021937844,,-0.457394767143
Cercopithecus_aethiops_pygerythrus,-0.405702042818,-0.341052356344,0.292703329302,-0.341052356344,-0.271211819132,-0.25398763259,-0.25681900572,-0.106048386537,-0.355681117517,2.35252728153,-0.241010505743,1.2907623577,5.19569779979,1.97737034178,0.538089000587,-0.12091309547,-0.289615744479,-0.158664737206,-0.34270399067,-0.34270399067,-0.308963460869,-0.224494162484,0.0237228819317,
